,job_name,job_score,number_of_jobs,unemployment_rate,median_salary,job_dscription
55,Orthotist and Prosthetist,6.1,1900,2.3,70190,"""Orthotics"" is the branch of medicine that works with prescribing, making and managing braces or orthoses; ""prosthetics"" is the branch of medicine that works with prescribing, making and managing artificial body parts or prostheses.""My uncle lost his arm in a hang gliding accident in his young adult years,"" says Phil Stevens. ""Growing up, I have vivid memories of watching him button his shirts and eat cornflakes with his prosthesis."" That experience led Stevens down a path to becoming a practicing orthotist and prosthetist and eventually, president of the American Academy of Orthotists and Prosthetists. Today, Stevens works with patients who range in age from infants to geriatrics. He might see a child with spina bifida who needs external braces (or orthoses) to walk. He might see adults with disabilities, such as multiple sclerosis or spinal cord injuries. He also might work with patients who have sports injuries and who need braces to recover after a cast is removed. He'll see patients who were born without a limb – or without part of a limb. Other patients might have had a limb amputated because of cancer, diabetes or another illness. Stevens says he might see eight to 12 patients a day, but if it's an especially complicated case, it might be just one patient. When a patient comes to Stevens, he'll work in conjunction with the referring physician to assess the patient's physical abilities and interests. He then determines which type of prosthetic components or orthoses will be the best fit for his patients. Stevens describes his job as ""matching the most appropriate technology with the needs and capabilities of the individual."" In addition to determining the design of specific braces or prostheses, Stevens' job entails applying them to the skin, or creating a socket or ""custom interface that bears weight."" The real magic happens in the finishing touches. In New Orleans in early 2015, Stevens gave a speech to a group of O&P professionals at The Academy Annual Meeting and Scientific Symposium. There, he spoke about going the extra mile. ""I'm really speaking of those extra actions that we take during patient encounters,"" he says. ""When we look down and realize that if we took another quarter-inch off that foot plate, it would fit in the shoe a little easier, or when we ask for one more pass down the parallel bars and we give that wrench another quarter-turn to see if we can't improve the alignment."" The Bureau of Labor Statistics projects 18.4 percent employment growth for orthotists and prosthetists between 2020 and 2030. In that period, an estimated 1,900 jobs should open up."
56,Social and Community Service Manager,6.1,26400,3.9,69600,"Social and community service managers' work can take a number of shapes: They might work directly with a specific community, such as the homeless or the seriously ill, and seek to identify problems and gaps in services for that population. They might also research and design programs that address these problems. Analyzing data, writing grant proposals, and overseeing and mentoring staff are also part of the job. By acting as the voice for their particular community, they could speak to government officials about certain problems; they might even testify before Congress on behalf of their demographic.""I think we need to feel that what we do matters,"" says Shirley Otis-Green, clinical director of consulting services for the Coalition for Compassionate Care of California, an advocacy organization dedicated to improving the care of the seriously ill. ""Social work, by its very definition, is about doing work that matters. It has an inherent sense of purpose that is so rewarding.""Otis-Green is hopeful that, in the future, social and community service managers will increasingly collaborate interprofessionally so that services will be more holistic. She gives the example of oncology patients. ""The most effective way to deliver health care is with a team approach that includes a nurse, doctor, chaplain and social worker,"" she says. ""Person-centered care recognizes that there are multidimensional aspects of suffering and that an interprofessional perspective is needed to address the patient's physical, social, psychological and spiritual needs.""The Bureau of Labor Statistics projects 15.2 percent employment growth for social and community service managers between 2020 and 2030. In that period, an estimated 26,400 jobs should open up."
57,Massage Therapist,6.1,46500,17.6,43620,"Employing their unique set of tools – ""magic hands"" and a ""magic touch"" – massage therapists relieve pain, reduce stress, unwind bound-up muscles and just plain make people feel better. With more than 80 types of treatments, massage therapists have many different ways to deliver this relief. Massage therapists can specialize in deep-tissue, acupressure, reflexology, orthopedic, sports massage and other areas. Often, massage therapists become experts in several modalities, all of which require specific skills and techniques. The length and type of massage provided typically depends on the client's condition and desires. Elderly clients, pregnant women and those recovering from a severe injury usually receive different treatments than elite athletes or those simply seeking relaxation. The nature of the massage is often discussed and agreed upon during a short interview with the client before it takes place. Massage therapists work for employers in a variety of environments, including spas and hospitals, and some are self-employed with their own small businesses. Regardless of the working arrangement, massage therapists should be friendly and personable to attract a consistent client base. Want a job that aims, above all else, to make people feel better? Consider becoming a massage therapist. The increasing number of spas and massage clinics in recent years underscores a growing demand for massage services.The Bureau of Labor Statistics projects 32.2 percent employment growth for massage therapists between 2020 and 2030. In that period, an estimated 46,500 jobs should open up."
58,Mechanical Engineer,6.1,20900,4.1,90160,"Mechanical engineers research, design, develop, build and test various devices.They often have an innate curiosity about the way things work. For J. Robert Sims, former president of the American Society of Mechanical Engineers, this curiosity reared its head at age 10. ""I repaired an old radio and used an old power supply to experiment with the electrolysis of water. I produced a small amount of hydrogen that I proceeded to ignite,"" he wrote in an email. ""Good judgment is not inherent in the young – that comes later with experience.""An enthusiasm for solving problems is a vital trait of mechanical engineers, says Warren Seering, a professor of mechanical engineering at Massachusetts Institute of Technology. It takes creativity to shepherd a theoretical device into a practical reality. Computers have changed the way mechanical engineers do their work. Computing tools now ""allow complex analyses to be performed in seconds that once required days or weeks of hand calculations,"" Sims writes. But to produce a fully refined product, mechanical engineers use grittier items, such as electric generators, industrial production equipment and material-handling systems. When confronted with the more complex and analytical portions of the occupation, being a wiz in areas like calculus and trigonometry is a major advantage.Mechanical engineering is an exciting professional field, thanks to innovations like 3D printing and the development of new engineering materials like carbon fiber composites. And as a result of globalization, Seering says many mechanical engineers now work in teams and create designs for communities throughout the world.Architecture, alternative energies, remanufacturing and nanotechnology are subsets of this profession that will have openings for candidates with the right education and experience. The Bureau of Labor Statistics projects 7.0 percent employment growth for mechanical engineers between 2020 and 2030. In that period, an estimated 20,900 jobs should open up."
59,Clinical Laboratory Technician,6.0,36500,4.4,54180,"Clinical laboratory technicians are responsible for a number of tasks, including examining body fluids and cells and matching blood for transfusions. The job requires the use of sophisticated laboratory equipment, such as microscopes and cell counters. With continued advancements in technology, lab work has become more analytical, so laboratory personnel should have excellent judgment skills. More complex procedures are reserved for clinical laboratory technologists, who must possess a bachelor's degree. Technicians, who must hold at least an associate degree, often work under the supervision of technologists. Don't expect to see clinical laboratory technicians playing a leading role on ""Grey's Anatomy"" anytime soon. Leave the spotlight to the actors who play surgeons; clinical lab technicians, on the other hand, are content working hard behind the scenes. Serving as an important cog in the elaborate framework that is the modern hospital or clinic, they conduct the crucial tests and analyses that physicians use to make their diagnoses.The Bureau of Labor Statistics projects 10.9 percent employment growth for clinical laboratory technicians between 2020 and 2030. In that period, an estimated 36,500 jobs should open up."
60,Psychologist,6.0,1100,0.9,105780,"Psychologists observe patients to glean insights about how they think, feel and behave. David Scheinfeld, a psychologist working in Austin, Texas, got his start in psychology at a young age. “I was in therapy myself as a young child through my teenage years, and I still am,” Scheinfeld says. “At a fundamental level, I found a lot of importance in therapy – the way it helps provide direction to live a valued life.” After completing a double major in psychology and communication studies in undergrad, Scheinfeld earned a doctorate in psychology. These days, Scheinfeld works with geriatric patients at a rehabilitation facility during the day. In the morning, he attends an interdisciplinary meeting with nurses, physical therapists, physicians and social workers. After this, he makes his rounds; those patients who might be experiencing major life crises will come first. He’ll generally spend anywhere from 25 to 50 minutes with each patient, and he’ll see anywhere from eight to 14 patients a day. Outside working hours, he’s involved with several innovative psychology programs, including Outward Bound for Veterans, an organization that facilitates outdoor therapeutic adventures for veterans, as well as Project Rebirth, “resilience” programs aimed at caring for the psychological health of the military, veterans and first responders. “This field is not stagnant; there’s so many new and innovative ways to approach treating the mental health issues,” Scheinfeld says. “You can start in one place and end in another place. I love that flexibility.” The Bureau of Labor Statistics projects 2.0 percent employment growth for psychologists between 2020 and 2030. In that period, an estimated 1,100 jobs should open up."
61,Landscaper and Groundskeeper,6.0,85000,2.9,31730,"Although the terms landscaper and groundskeeper are sometimes used interchangeably, they define two separate jobs with distinct responsibilities. ""A landscaper is more involved with the horticultural maintenance of facilities, while a groundsworker might be involved with refuse removal and snow removal,"" says Donald Bottger, director of facility and environmental services for the San Diego Convention Center Corporation.  Other landscaper duties include planting trees and shrubbery, fertilizing and watering plants and constructing patios and walkways. And groundskeepers' work isn't confined to greenery; they might maintain swimming pools and fountains or ensure picnic areas and public spaces are free of litter. Both jobs are ideal for green thumbs and outdoorsy folks, and they're also good callings for those who have the entrepreneurial spirit to start their own lawn care and landscaping businesses. Bottger says there is plenty of potential for advancement in this career – landscapers could move up the ranks and become supervisors, while groundskeepers could be promoted to grounds managers or facilities managers.From manicured lawns on college campuses to ornate gardens at historic homes, the work of landscapers and groundskeepers surrounds us. You'll also find their handiwork in public parks, botanical gardens, sports fields and even cemeteries.  Aging baby boomers aren't just driving demand for more professionals in the health care field – they also influence job openings within landscaping and groundskeeping. Older homeowners often employ lawn care services when they can no longer tend to their homes themselves. These services are also popular among working professionals who have limited daytime hours available for yard work.The Bureau of Labor Statistics projects 7.6 percent employment growth for landscapers and groundskeepers between 2020 and 2030. In that period, an estimated 85,000 jobs should open up."
62,Physical Therapist Assistant,6.0,33200,10.7,59770,"Physical therapists generally examine a patient and prescribe a plan of care. It's the job of the physical therapist assistant to carry out that plan. Their work can include manually maneuvering a patient's body for different massages or stretches prescribed to relieve damages incurred by disease or injury. Or they might explain different exercises and observe the patients while they do them. They might also use different equipment or machines to help with therapy. Years ago, Chris Garland's mother underwent ACL surgery. In the days that followed, Garland took her mother to physical therapy appointments. ""I sat back and watched,"" she says. What she saw was science and problem-solving in action. She saw compassionate physical therapists and physical therapist assistants building relationships with their patients and helping them reach their fullest potential. Garland was hooked. After more than 15 years of working in marketing, Garland went back to school, earned an associate degree in Applied Science and became a physical therapist assistant. ""I kicked myself for not doing this sooner,"" she says. ""I wish I had done this 20 years ago."" The Bureau of Labor Statistics projects 35.4 percent employment growth for physical therapist assistants between 2020 and 2030. In that period, an estimated 33,200 jobs should open up."
63,Medical Assistant,6.0,132600,5.8,35850,"A medical assistant's job is a mix of traditional office work, including manning the front desk, answering phones and filing insurance forms, as well as hands-on tasks, such as preparing blood for lab tests, administering injections as permitted and making sure medical histories are accurately recorded. More specialized roles include assisting ophthalmologists or optometrists with basic vision tests and helping patients learn to insert, remove and care for contact lenses.A routine visit to the doctor is really a visit with an entire team, including a growing number of medical assistants. Medical assistants are likely the first and last faces you'll see during any medical appointment, either in your doctor's office or at a larger medical organization. The aging baby boomer population will help drive demand for more medical assistants, who will be needed to support doctors and nurses as they diagnose and treat patients. The Bureau of Labor Statistics projects 18.4 percent employment growth for medical assistants between 2020 and 2030. In that period, an estimated 132,600 jobs should open up."
64,Petroleum Engineer,6.0,2200,N/A,137330,"Petroleum engineers design equipment that extracts oil from reservoirs, which are deep pockets of rock that contain oil and gas deposits. To do this, they spend a lot of time gathering and analyzing data to extract the oil in the safest and most cost-effective ways possible. They also do a lot of evaluating and refining of systems to make them better. A decent amount of the oil extracted by petroleum engineers in the U.S. comes from Texas.As a kid growing up in West Texas, Russell Parker wanted nothing to do with oil. He saw what happened during the mid-1980s bust when the price of crude oil, or petroleum, plummeted, and more than 200,000 people lost their jobs.  But, while working on his bachelor's degree at the University of Texas at Austin, Parker found himself bored in his aeronautical engineering classes. He wanted to work in an area of engineering that moved at a faster clip and pushed the envelope. As it turned out, petroleum engineering fit the bill. Parker, now the CEO of Houston-based Phoenix Natural Resources, says the job includes a lot of science, data and technical know-how, but there's always this exciting element of the unknown.  ""You can't put a human being two miles into the earth,"" Parker says. ""You have to do all of your work with the data that you take – building models, observing the way the reservoir works – there are so many unknowns that you have to deal with."" The Bureau of Labor Statistics projects 7.6 percent employment growth for petroleum engineers between 2020 and 2030. In that period, an estimated 2,200 jobs should open up."
65,Financial Analyst,6.0,31300,4.1,83660,"Financial analysts keep their fingers on the pulse of the economy. They help their clients by recommending when to buy and sell investments and by staying current on economic trends, business news and company strategy. They also write reports that explain their analyses, share their expertise with colleagues who aren’t financial experts and sometimes communicate their perspectives to the public and financial media. Many work for financial companies, including those in the financial services and insurance industries. For their influence and sizable paychecks, financial analysts pay the price by working long hours: One in three put in between 50 and 70 hours a week.Competition for these jobs is fierce, especially among analysts new to the field.The Bureau of Labor Statistics projects 6.4 percent employment growth for financial analysts between 2020 and 2030. In that period, an estimated 31,300 jobs should open up."
66,Industrial Psychologist,5.9,100,0.9,96270,"Industrial psychologists apply the principles of psychology to the workplace.""Interestingly, I got into this field by having bad jobs,"" says Steve Kozlowski, former president of the Society for Industrial and Organizational Psychology and a psychology professor at Michigan State University. He had dropped out of college and got a job on the assembly line at a factory. ""I ran a machine. The work was monotonous, dangerous, didn't pay well, and it didn't have to be that bad."" When asked about his entry into the field, Mark Poteet, president of Organizational Research & Solutions Inc., says, ""I've always found a natural interest in people – why do people do what they do – but I've also always had an interest in business, commerce and finance."" He started asking himself questions like, ""what makes employees more productive?"" and ""what makes leaders more effective?"" And these are just some of the questions that industrial psychology addresses. Poteet describes the profession as ""a natural marriage between psychology and business."" The Bureau of Labor Statistics projects 2.2 percent employment growth for industrial psychologists between 2020 and 2030. In that period, an estimated 100 jobs should open up."
67,Computer Support Specialist,5.9,58000,5,52690,"Computer support specialists help with log-in difficulties, operating system and software malfunctions and some even need to pull out a screwdriver to open up a laptop or PC. Considering the number of phone calls, face-to-face meetings, emails and, in some cases, chats they engage in on a daily basis, people in this line of work must exhibit excellent communication skills. They need to ask users the right questions to pinpoint the issue, find a solution and then guide them step-by-step through the fix. Almost everyone has thrown up their hands in frustration after what feels like a million failed attempts to log onto their computer or more than an hour wrestling with a router to set up a home network. When you reach for the phone or keyboard to seek assistance and a little peace of mind, the person who answers on the other end is typically a computer support specialist. These tech savants work in a variety of settings – from traditional offices to universities to call centers – but the primary goal of the men and women who field often frantic pleas for help from users with computer issues is always the same: to provide the assistance they need in a friendly and effective manner. ""We need to make sure we know how to diagnose their issues and do it quickly,"" says Guido Diaz, a distributed computer systems analyst at the Florida Department of Education. ""Customer relations and troubleshooting are very important.""  Instead of responding to general requests for assistance, another segment of computer support specialists hone in on network matters. Referred to as computer network support specialists, these professionals receive their fair share of distressed phone calls and emails, but they often revolve around network problems and come from employees within their workplace rather than customers or the public. Aside from responding to and solving issues in a timely manner, network support specialists troubleshoot an organization's network computer system to ferret out potential problems and provide regular maintenance to ensure all its components function properly. As organizations upgrade outdated hardware, software and network equipment and require more experienced, knowledgeable professionals to respond to questions from users, computer support specialists will remain an in-demand job. The one blemish on this industry's job outlook: The recent rise in cloud computing could increase computer support specialists' productivity, therefore reducing the number of employees that organizations need to employ. The Bureau of Labor Statistics projects 8.9 percent employment growth for computer support specialists between 2020 and 2030. In that period, an estimated 58,000 jobs should open up."
68,Insurance Sales Agent,5.9,35500,4.2,52180,"Insurance agents sell auto, health, home and life insurance. Commercial insurance agents also sell property damage and liability policies, employee and executive coverage and product liability. Insurance is a heavily regulated field, and agents must be licensed by their state.Insurance agents are the men and women represented by some of TV's most unforgettable ad campaigns. Who can forget Geico's gecko with that adorable British accent, Allstate's memorable ""Mayhem"" character or the catchy jingle ""Nationwide is on your side""? About half of insurance agents work for an independent insurance agency or brokerage, and sell the products of many insurance companies. Nearly 20 percent are self-employed. Others work for direct insurance carriers. Commissions are an important source of income for most agents, although a smaller number hold salaried positions. Agents spend considerable time developing and pursuing sales leads. Consumer policy agents do a lot of telephone and office work, while commercial agents are more likely to be out in the field with customers. Independent agents who work for a brokerage may have irregular hours, but they also have more control over their work schedules than agents who work for an insurance company or spend most of their time in an office. There tends to be a lot of turnover in this career because many new agents struggle to earn sufficient commission income and switch to other occupations. Prospects for insurance agents are closely tied to the growth of the broader economy.The Bureau of Labor Statistics projects 7.0 percent employment growth for insurance sales agents between 2020 and 2030. In that period, an estimated 35,500 jobs should open up."
69,School Psychologist,5.9,12300,N/A,79820,"School psychologists identify, diagnose and treat students with learning disabilities, mental disorders and other behavioral, cognitive or emotional problems. They also develop plans for addressing these issues and refer students to other mental health resources when necessary. Their job duties are varied. These mental health professionals might help students manage stress, such as high school seniors applying to colleges. They might role-play with students on the autism spectrum. Or, they might counsel and refer a student who has expressed suicidal thoughts. They also might discuss a student's anxiety and depression issues with a concerned parent or guardian. And these professionals must handle a copious amount of documentation and paperwork. Pamela Agan-Smith, a school psychologist who has worked with students in the Greenville Central School District in Greenville, New York, for more than 30 years, says the biggest issues facing her students these days involve mental health. ""Public school students face a pretty stressful environment,"" she notes. For some students, this stress morphs into anxiety, depression and suicidal thoughts, and the school psychologist is the point person to address these concerns. A heightened awareness of mental health's connection to learning and the rising need of mental health services in schools are driving the demand for more school psychologists. However, this demand is tempered by state and local funding for schools, which is inadequate in some cases.The Bureau of Labor Statistics projects 10.4 percent employment growth for school psychologists between 2020 and 2030. In that period, an estimated 12,300 jobs should open up."
70,Genetic Counselor,5.9,600,4.3,85700,"Imagine a biology teacher teaming up with a therapist, and you'll start to picture what a genetic counselor does. A genetic counselor combs through a patient's family tree to highlight any potential health risks. For example, a person with a family history of cancer might meet with a genetic counselor to determine his or her risk for receiving similar diagnoses. If a patient decides to move forward with a genetic test, the counselor then coordinates laboratory work – usually a blood test – for a clearer picture of any genetic risks. Next comes the interpretation, where the counselor examines test results to look for any mutations that might explain a current disorder or syndrome, or that might predict future ones. The counselor then sits with the patient and his or her family to explain the findings and their ramifications. If necessary, genetic counselors also discuss the ways in which the information might be used in a patient's medical care.  Joy Larsen Haidle, president of the National Society of Genetic Counselors and a genetic counselor with the Humphrey Cancer Center in Robbinsdale, Minnesota, says the profession is a ""great blend of science, critical thinking, psychology and counseling."" If patients are considering a genetic test for a certain disorder, Larsen Haidle asks them to consider if it's a piece of information they really want to know. How would a patient use the information in their future plans? ""This conversation helps a patient feel more empowered with the information rather than a gene or the cancer being in control,"" she says.  The first genetic counselors graduated with master's degrees in 1971 from Sarah Lawrence College in Bronxville, New York. They went on to work with the prenatal population, assessing genetic conditions in the womb. Since then, with advances in genomics and laboratory technology – not to mention the increased awareness that celebrities like Angelina Jolie have brought to the benefits of using genetic counseling to take preventive health measures – the profession has proliferated. Larsen Haidle says there are roles for counselors to play in any subspecialty, from psychiatry to cardiology. Technological advances have also boosted the type of testing genetic counselors may administer and interpret. The Bureau of Labor Statistics projects 26.2 percent employment growth for genetic counselors between 2020 and 2030. In that period, an estimated 600 jobs should open up."
71,Chiropractor,5.9,5600,3.4,70720,"Chiropractors care for patients ailing from problems with their musculoskeletal systems. This purview is perhaps broader than it might sound because this includes nerves, bones, muscles, ligaments and tendons. These professionals use spinal adjustments and manual manipulations to address these concerns. Chiropractors will also often advise patients on lifestyle issues, including exercise, nutrition and sleep. Dr. Robert Hayden, a spokesperson for the American Chiropractic Association and owner of a private practice in Griffin, Georgia, spent 18 years as a critical care nurse before making the switch to chiropractic. ""I've been very blessed to have two careers that I really enjoyed and loved,"" Hayden says. ""I probably had some degree of burnout – not with what I did in critical care. You're confined in a room with a very sick patient and hissing ventilators, IV pumps, bouncing green balls. It was very stressful, though I enjoyed it."" But he was enjoying the hospital politics less and less. Right about that time, Hayden was attending a Bible study group, and he watched one of the members hobble into the house where they were meeting. The man was suffering from so much sciatic pain that he couldn't sit on a chair; rather, he perched awkwardly on the ground. At the end of the meeting, another member, who was a chiropractor, adjusted some of this man's lumbar bones and the man was able to stand up nearly straight and walk out of the house. ""With the knowledge in his head and skill in his hand, [that doctor] was able to take pain away,"" Hayden says. ""I was fascinated."" Eventually, Hayden was fascinated enough to go back to school and begin a second career. Interestingly, chiropractic was also the answer to Hayden's annoyance with office politics. ""I wanted to create my own little microcosm of health care that was holistic, patient-centered and user-friendly, and I knew that I couldn't do that anywhere other than private practice."" The Bureau of Labor Statistics projects 10.8 percent employment growth for chiropractors between 2020 and 2030. In that period, an estimated 5,600 jobs should open up."
72,Pharmacist,5.9,-7000,1.3,128710,"The white-coated professionals at your neighborhood drug store do a lot more than just fill prescriptions. Pharmacists do indeed dispense medicines, but first they check for any possible interactions with other medicines or medical conditions. They also instruct patients on how to take the medicines and will inform them about what to do if certain side effects arise. A pharmacist will also keep meticulous records, coordinate with insurance companies, supervise pharmacy technicians and keep up-to-date with continuing education courses.""Pharmacists are becoming a more integral part of the health care team,"" says Heather Free, a pharmacist working in the District of Columbia. She says that pharmacists are doing more to support doctors and clinicians, for example, by giving patients immunizations and making sure that all of a patient's doctors are informed about the diverse medicines that have been prescribed. Some pharmacists are also getting involved in adherence monitoring (why it's hard for patients to take their meds) and medication therapy management, which seeks to optimize what drugs do for a patient's overall well-being.The Bureau of Labor Statistics projects -2.2 percent employment growth for pharmacists between 2020 and 2030. In that period, an estimated 7,000 jobs will be lost."
73,Electrician,5.9,66100,6.2,56900,"Electricians are responsible for the installation, maintenance and repair of electrical systems in buildings, including homes, factories, offices and retail stores. They install wiring systems, outlets and light switches; inspect circuit breakers and transformers; and repair and replace wiring when needed.“The electricians in our program can be doing anything from residential to commercial to industrial wiring,” says Derrick Atkins, training director at Minneapolis Electrical Joint Apprenticeship Training Committee. The Minneapolis Electrical JATC operates a nonprofit training center for electricians in St. Michael, Minnesota, a collaboration between the Minneapolis chapter of the National Electrical Contractors Association and the International Brotherhood of Electrical Workers Local Union 292.Electricians work in a variety of settings and specialties – basically, anywhere electricity is used. Atkins says there are different opportunities in all kinds of areas from solar and renewables, to building automation, and residential or commercial wiring.The Bureau of Labor Statistics projects 9.1 percent employment growth for electricians between 2020 and 2030. In that period, an estimated 66,100 jobs should open up."
74,Dietitian and Nutritionist,5.9,7800,4.5,63090,"Dietitians and nutritionists are experts in food and nutrition, and they advise clients how to eat in order to achieve a desired goal, whether that's losing weight or managing a chronic condition such as diabetes. Their clients might include low-income people who need to eat right on a budget. A large segment of dietitians and nutritionists are employed by hospitals to provide medical nutrition therapy and support. Evelyn Crayton, director at Living Well Associates and former president of the Academy of Nutrition and Dietetics, started down her career path because, as she puts it, ""a man who would be considered sexist now"" pointed her in the right direction.  Crayton, who attended Grambling State University in the 1960s, excelled in her science classes, and one of her professors wanted to give her some advice. He suggested that, instead of becoming a professor, she should consider home economics because men wanted their women to cook, clean and have children. She wasn't offended. ""This was the '60s,"" Crayton laughs. ""We hadn't become liberated women yet.""  Nonetheless, she took his advice and visited the university's Institute Management department, where she excelled in dietitian courses that eventually helped her acquire a coveted internship at St. Louis University. Graduate and doctorate degrees followed, as did a career that included clinical jobs, research and mentoring the next generation of professionals.  Crayton wishes her late mother could see her career trajectory. ""People told her I was a cook,"" she says. ""They didn't really know (what I did as a dietitian and nutritionist).""  The Bureau of Labor Statistics projects 10.7 percent employment growth for dietitians and nutritionists between 2020 and 2030. In that period, an estimated 7,800 jobs should open up."
75,Actor,5.8,16700,N/A,43760,"Actors perform in the theater, work in films or star in television productions. Their job is to interpret a writer's script and portray different characters on the stage or on the screen to a watching public. Their job involves reading scripts, auditioning, researching their characters, memorizing and rehearsing lines, and performing their roles. Much of the job of an actor involves looking for work, and sometimes it involves long bouts of unemployment while waiting for a break.  When he was a kid, Arbender Robinson's family moved around a lot. To make matters worse, Robinson was a self-proclaimed bookworm with a stutter. But in fourth grade at Richmond Grade School in Richmond, Illinois, all of that started to change. In an effort to draw him out of his shell, one of his teachers put him in the elementary school musical. ""It was horrible,"" Robinson says with a laugh.  But then Robinson says he fell in love with the sense of responsibility that memorizing his lines gave him, the teamwork that belonging to the cast gave him, and the sheer fun of it all.  “All of a sudden those values that parents, teachers, mentors and family tried to teach were all coming into play at one time,” Robinson says.  One well-intentioned teacher's social experiment not only gave Robinson some confidence, but it also pointed him down his future career path. After high school, Robinson studied theater at Viterbo University in La Crosse, Wisconsin. He got jobs as a vocalist and an actor with Royal Caribbean Cruises and Walt Disney World, before moving to New York City, where he earned parts in Broadway shows like ""Hairspray."" Robinson has also worked in the Broadway revival of ""Shuffle Along.""The Bureau of Labor Statistics projects 32.4 percent employment growth for actors between 2020 and 2030. In that period, an estimated 16,700 jobs should open up."
76,Security Guard,5.8,154200,7.7,31050,"Security guards protect people against fire, theft, vandalism, terrorism, and other illegal and dangerous threats. They ensure safety by actively patrolling or using security systems to keep a watchful eye over a facility. Like police officers, many security guards are armed with weapons. Specific tasks vary by setting. Transportation guards use detectors to screen passengers, while security guards at casinos look out for cheating and underage gamblers. Although movies give security guards a bad rap by depicting frequent snoozing on the job, in reality, there's little downtime in this line of work, as guards must remain alert to watch for any suspicious activity.The Bureau of Labor Statistics projects 14.6 percent employment growth for security guards between 2020 and 2030. In that period, an estimated 154,200 jobs should open up."
77,Pilot,5.8,14700,9.5,130440,"Pilots fly and operate aircraft like airplanes and helicopters for airlines, private corporations, law enforcement agencies and the military. They also prepare the aircraft for flight, which includes ensuring there are no mechanical defects with the aircraft, verifying that scheduled maintenance is done and any repairs are complete, and checking the route of flight as well as departure, destination and alternate airports to make sure the flight is safe for weather conditions. Pilots also make sure the aircraft is properly balanced with passengers, cargo, baggage and fuel load.“You may be within your weight limitation, but if the balance is out, it can be very difficult to raise the nose or raise the tail if the center of gravity is off, just like on a teeter-totter,” says David Dornacker, flight simulator and academic ground school instructor at CAE USA, a major defense contractor that provides flight simulation training for the military. Dornacker was previously a pilot with ExpressJet Airlines (formerly Continental Express) for 14 years, where he served as first officer then captain, and prior to that was an air traffic controller with the U.S. Navy for 20 years.Getting the aircraft ready for takeoff is “not just a matter of loading up the aircraft and topping it off and going. You’ve got to actually have a plan; you have to know how much fuel you’re going to burn to get to your destination, you have to have reserve fuel left over to be compliant with federal air regulations, and should you need an alternate, you’ve got to have enough fuel to get to that alternate airport and then have adequate fuel reserves on board as well,” Dornacker says.Once preflight duties have been performed, pilots have the arduous job of getting the aircraft safely in the sky. Dornacker says the pilot files the route of flight, requests clearance from the air traffic controllers, takes position on the runway, runs through final checks for the aircraft, runs the power-up check on the engines, and then climbs out at the appropriate speed to get to the assigned cruising altitude.The Bureau of Labor Statistics groups pilots into two categories: airline and commercial. Airline pilots generally work on a fixed schedule for an airline as they transport people and cargo to their destinations. Commercial pilots typically perform unscheduled flights for corporations, wealthy individuals, aerial tours, charter flights and pesticide application.Ambulance services is expected to be a large area of growth among commercial pilots in the next decade, according to the BLS, as pilots will be hired to transport patients to hospitals and other health care facilities. The Bureau of Labor Statistics projects 12.9 percent employment growth for pilots between 2020 and 2030. In that period, an estimated 14,700 jobs should open up."
78,Audiologist,5.8,2100,N/A,81030,"Audiologists assess hearing and balance with tools like audiometers, and give treatment, which may mean different relief procedures for vertigo or fitting hearing aids for hearing impairments. Audiologists also counsel a patient's family or community on how to best serve a patient with hearing impairments or balance issues.The combination of helping people and the technology interested Neil DiSarno, who always knew he wanted to make a career out of helping people but didn't know just how he could.In college, he took a class on communication disorders and then shadowed an audiologist at the workplace. What he saw hooked him. ""Patients were generally very grateful,"" DiSarno says. ""I liked that you got to work with all ages – newborns to nursing homes. I liked the technology. I liked the machinery. It was a match for me.""These days, DiSarno is the chief staff officer for audiology at the American Speech-Language-Hearing Association. Before that, he worked for several decades testing patients' hearing and balance and treating them for hearing disorders. His career in clinical practice and teaching has taken him to Alaska, New Zealand, New York, Florida, Missouri and the Washington, D.C., area.Because the incidences of hearing loss increase with age, audiologists will likely be more in need as the baby boomers age. Newborns with hearing issues are also expected to drive job growth because hearing disorders can be detected and diagnosed early.The Bureau of Labor Statistics projects 15.7 percent employment growth for audiologists between 2020 and 2030. In that period, an estimated 2,100 jobs should open up."
79,Restaurant Cook,5.8,563500,16.4,28800,"Restaurant cooks perform tasks like braising, blanching, whisking, garnishing and grilling to prepare food. But they've also mastered other skills. The best have cool heads and fast fingers to maneuver in a pressure-cooking kitchen – literally – and quickly and efficiently get customers' orders to the table. They have a nimble imagination for switching up the menu and substituting ingredients, an affable personality for fielding both compliments and complaints, and a collaborative spirit for managing and working well with other kitchen staff.A vibrant foodie culture continues to benefit the dining industry. Cooks with formal training have the best job prospects, and those who can prepare more complex dishes will have the best job opportunities at chains and upscale restaurants.The Bureau of Labor Statistics projects 48.9 percent employment growth for restaurant cooks between 2020 and 2030. In that period, an estimated 563,500 jobs should open up."
